0.00,5845.25,4666.92,6079.35,5199.40,2984.11,2034.51,1217.42,2087.10,1022.49,698.17,3227.70,2023.39,1015.07,1775.45,1426.90,2471.40,2073.70,1671.10,3682.45,2640.30,1244.42,6309.84,592.31,3243.56,5414.62,4842.39,1559.68,2575.45,3145.73,6456.95,292.88
5818.52,0.00,2939.83,9939.78,12981.41,2804.88,9833.11,5275.98,8359.75,5847.55,8619.32,10925.10,9806.30,7312.93,9416.04,8623.52,10154.76,6254.88,4743.79,11465.94,10424.80,8778.98,14092.75,6144.32,4044.86,1617.41,8660.69,5747.05,10358.95,10930.23,14240.86,5483.98
4694.80,2932.12,0.00,11352.81,10472.87,2550.30,7323.08,5496.50,5849.72,3481.52,6109.29,8416.56,7296.86,4947.49,6906.01,6114.09,7644.73,3890.93,5887.76,8955.91,7914.76,6271.03,11583.31,4858.92,1535.42,2272.98,10115.86,5655.90,7848.92,8420.20,11731.42,4198.58
6052.99,9959.44,11375.13,0.00,1994.47,8426.10,4090.32,6402.78,7557.80,6465.08,5463.69,4950.97,4208.15,6536.29,4396.39,5438.52,4231.50,7594.91,6081.52,3602.77,3461.60,4821.51,935.85,5480.20,10035.77,12206.84,1164.47,5509.05,3781.69,3252.99,385.14,5736.36
5177.79,13005.80,10499.93,1993.58,0.00,7550.90,3131.12,5527.58,6682.59,5589.28,4588.49,4075.76,3332.36,5577.08,3521.19,4561.83,3356.29,6635.71,5163.31,1316.39,2586.39,4030.31,2157.48,4603.51,9160.57,11331.64,756.62,4633.85,2906.49,2377.79,2372.19,4861.16
2963.60,2838.80,2558.94,8429.86,7549.91,0.00,5065.94,2421.05,5125.62,1287.16,3736.68,6266.21,5061.32,4053.59,4814.37,4464.82,5502.32,3990.43,2812.31,6712.96,5925.81,3523.34,9347.76,3290.88,1694.12,1925.54,7872.90,3420.45,5613.37,6185.24,9487.88,2630.55
2005.42,9847.35,7342.96,4099.14,3135.20,5060.64,0.00,2354.22,3447.55,3133.01,1368.22,1074.90,323.78,2428.12,318.85,1328.86,320.35,3484.67,2678.83,1619.73,578.58,810.44,4245.64,1385.73,5926.12,8097.18,2778.19,2440.99,531.63,1517.06,4395.25,1641.89
1074.15,5297.65,5492.33,6436.89,5556.94,2436.51,2343.84,0.00,3228.17,2023.60,1648.38,3597.63,2394.81,2156.14,2147.87,2351.52,2721.86,4577.18,325.14,3954.37,2913.23,1520.77,6643.38,900.98,4067.48,6240.04,5175.93,932.38,2946.87,3474.12,6792.99,757.18
2077.93,8321.21,5816.82,7513.83,6633.88,5139.04,3408.10,3364.35,0.00,4641.96,2222.90,4033.91,3375.37,865.97,2984.51,2191.10,3723.24,1951.12,3818.62,5032.93,3991.78,2276.90,7660.33,2506.74,4391.98,6564.53,6192.87,3474.70,3927.43,4498.70,7808.44,2449.30
1034.96,5844.29,3482.41,6501.22,5621.28,1310.06,3173.38,2026.28,4676.34,0.00,1808.05,4337.57,3133.27,2124.95,2886.32,2536.77,3577.70,2717.56,2418.14,4792.32,3751.18,1595.30,7419.72,1362.84,2059.06,4230.12,5952.27,2186.28,3685.33,4256.61,7567.83,701.91
